plot,Date,Time,month,day,hour,min,treatment,temp
1,2023-06-08,17:48:48,6,8,17,48,warming,24.5
1,2023-06-08,18:48:48,6,8,18,48,warming,22.5
1,2023-06-08,19:48:48,6,8,19,48,warming,22
1,2023-06-08,20:48:48,6,8,20,48,warming,20.5
1,2023-06-08,21:48:48,6,8,21,48,warming,22
1,2023-06-08,22:48:48,6,8,22,48,warming,22
1,2023-06-08,23:48:48,6,8,23,48,warming,21
1,2023-06-09,00:48:48,6,9,0,48,warming,21
1,2023-06-09,01:48:48,6,9,1,48,warming,20.5
1,2023-06-09,02:48:48,6,9,2,48,warming,20.5
1,2023-06-09,03:48:48,6,9,3,48,warming,20
1,2023-06-09,04:48:48,6,9,4,48,warming,20.5
1,2023-06-09,05:48:48,6,9,5,48,warming,19.5
1,2023-06-09,06:48:48,6,9,6,48,warming,20.5
1,2023-06-09,07:48:48,6,9,7,48,warming,20.5
1,2023-06-09,08:48:48,6,9,8,48,warming,8.5
1,2023-06-09,09:48:48,6,9,9,48,warming,9.5
1,2023-06-09,10:48:48,6,9,10,48,warming,13
1,2023-06-09,11:48:48,6,9,11,48,warming,19
1,2023-06-09,12:48:48,6,9,12,48,warming,21.5
1,2023-06-09,13:48:48,6,9,13,48,warming,23.5
1,2023-06-09,14:48:48,6,9,14,48,warming,24
1,2023-06-09,15:48:48,6,9,15,48,warming,25.5
1,2023-06-09,16:48:48,6,9,16,48,warming,25
1,2023-06-09,17:48:48,6,9,17,48,warming,24
1,2023-06-09,18:48:48,6,9,18,48,warming,22
1,2023-06-09,19:48:48,6,9,19,48,warming,19
1,2023-06-09,20:48:48,6,9,20,48,warming,16
1,2023-06-09,21:48:48,6,9,21,48,warming,13
1,2023-06-09,22:48:48,6,9,22,48,warming,11
1,2023-06-09,23:48:48,6,9,23,48,warming,10
1,2023-06-10,00:48:48,6,10,0,48,warming,9.5
1,2023-06-10,01:48:48,6,10,1,48,warming,9
1,2023-06-10,02:48:48,6,10,2,48,warming,8.5
1,2023-06-10,03:48:48,6,10,3,48,warming,8
1,2023-06-10,04:48:48,6,10,4,48,warming,8.5
1,2023-06-10,05:48:48,6,10,5,48,warming,9.5
1,2023-06-10,06:48:48,6,10,6,48,warming,11
1,2023-06-10,07:48:48,6,10,7,48,warming,13
1,2023-06-10,08:48:48,6,10,8,48,warming,17
1,2023-06-10,09:48:48,6,10,9,48,warming,22
1,2023-06-10,10:48:48,6,10,10,48,warming,29
1,2023-06-10,11:48:48,6,10,11,48,warming,33
1,2023-06-10,12:48:48,6,10,12,48,warming,35
1,2023-06-10,13:48:48,6,10,13,48,warming,36
1,2023-06-10,14:48:48,6,10,14,48,warming,32
1,2023-06-10,15:48:48,6,10,15,48,warming,34.5
1,2023-06-10,16:48:48,6,10,16,48,warming,33
1,2023-06-10,17:48:48,6,10,17,48,warming,31
1,2023-06-10,18:48:48,6,10,18,48,warming,29
1,2023-06-10,19:48:48,6,10,19,48,warming,25.5
1,2023-06-10,20:48:48,6,10,20,48,warming,22
1,2023-06-10,21:48:48,6,10,21,48,warming,18.5
1,2023-06-10,22:48:48,6,10,22,48,warming,17
1,2023-06-10,23:48:48,6,10,23,48,warming,15.5
1,2023-06-11,00:48:48,6,11,0,48,warming,15
1,2023-06-11,01:48:48,6,11,1,48,warming,14.5
1,2023-06-11,02:48:48,6,11,2,48,warming,13.5
1,2023-06-11,03:48:48,6,11,3,48,warming,13
1,2023-06-11,04:48:48,6,11,4,48,warming,13
1,2023-06-11,05:48:48,6,11,5,48,warming,13.5
1,2023-06-11,06:48:48,6,11,6,48,warming,14.5
1,2023-06-11,07:48:48,6,11,7,48,warming,16
1,2023-06-11,08:48:48,6,11,8,48,warming,18
1,2023-06-11,09:48:48,6,11,9,48,warming,20
1,2023-06-11,10:48:48,6,11,10,48,warming,25.5
1,2023-06-11,11:48:48,6,11,11,48,warming,28
1,2023-06-11,12:48:48,6,11,12,48,warming,29.5
1,2023-06-11,13:48:48,6,11,13,48,warming,24.5
1,2023-06-11,14:48:48,6,11,14,48,warming,21
1,2023-06-11,15:48:48,6,11,15,48,warming,18
1,2023-06-11,16:48:48,6,11,16,48,warming,15.5
1,2023-06-11,17:48:48,6,11,17,48,warming,13
1,2023-06-11,18:48:48,6,11,18,48,warming,11.5
1,2023-06-11,19:48:48,6,11,19,48,warming,10
1,2023-06-11,20:48:48,6,11,20,48,warming,9
1,2023-06-11,21:48:48,6,11,21,48,warming,8
1,2023-06-11,22:48:48,6,11,22,48,warming,7
1,2023-06-11,23:48:48,6,11,23,48,warming,6.5
1,2023-06-12,00:48:48,6,12,0,48,warming,6.5
1,2023-06-12,01:48:48,6,12,1,48,warming,6
1,2023-06-12,02:48:48,6,12,2,48,warming,5.5
1,2023-06-12,03:48:48,6,12,3,48,warming,5.5
1,2023-06-12,04:48:48,6,12,4,48,warming,5
1,2023-06-12,05:48:48,6,12,5,48,warming,5
1,2023-06-12,06:48:48,6,12,6,48,warming,4.5
1,2023-06-12,07:48:48,6,12,7,48,warming,4
1,2023-06-12,08:48:48,6,12,8,48,warming,3
1,2023-06-12,09:48:48,6,12,9,48,warming,4
1,2023-06-12,10:48:48,6,12,10,48,warming,4
1,2023-06-12,11:48:48,6,12,11,48,warming,4
1,2023-06-12,12:48:48,6,12,12,48,warming,4
1,2023-06-12,13:48:48,6,12,13,48,warming,5
1,2023-06-12,14:48:48,6,12,14,48,warming,5
1,2023-06-12,15:48:48,6,12,15,48,warming,4.5
1,2023-06-12,16:48:48,6,12,16,48,warming,4
1,2023-06-12,17:48:48,6,12,17,48,warming,4
1,2023-06-12,18:48:48,6,12,18,48,warming,3.5
1,2023-06-12,19:48:48,6,12,19,48,warming,3.5
1,2023-06-12,20:48:48,6,12,20,48,warming,3.5
1,2023-06-12,21:48:48,6,12,21,48,warming,3
1,2023-06-12,22:48:48,6,12,22,48,warming,3
1,2023-06-12,23:48:48,6,12,23,48,warming,2.5
1,2023-06-13,00:48:48,6,13,0,48,warming,2.5
1,2023-06-13,01:48:48,6,13,1,48,warming,2.5
1,2023-06-13,02:48:48,6,13,2,48,warming,2.5
1,2023-06-13,03:48:48,6,13,3,48,warming,2.5
1,2023-06-13,04:48:48,6,13,4,48,warming,2.5
1,2023-06-13,05:48:48,6,13,5,48,warming,3
1,2023-06-13,06:48:48,6,13,6,48,warming,4
1,2023-06-13,07:48:48,6,13,7,48,warming,5
1,2023-06-13,08:48:48,6,13,8,48,warming,7.5
1,2023-06-13,09:48:48,6,13,9,48,warming,11
1,2023-06-13,10:48:48,6,13,10,48,warming,14.5
1,2023-06-13,11:48:48,6,13,11,48,warming,16.5
1,2023-06-13,12:48:48,6,13,12,48,warming,18
1,2023-06-13,13:48:48,6,13,13,48,warming,18
1,2023-06-13,14:48:48,6,13,14,48,warming,19.5
1,2023-06-13,15:48:48,6,13,15,48,warming,19.5
1,2023-06-13,16:48:48,6,13,16,48,warming,18.5
1,2023-06-13,17:48:48,6,13,17,48,warming,18.5
1,2023-06-13,18:48:48,6,13,18,48,warming,16.5
1,2023-06-13,19:48:48,6,13,19,48,warming,14
1,2023-06-13,20:48:48,6,13,20,48,warming,11.5
1,2023-06-13,21:48:48,6,13,21,48,warming,9
1,2023-06-13,22:48:48,6,13,22,48,warming,7.5
1,2023-06-13,23:48:48,6,13,23,48,warming,6.5
1,2023-06-14,00:48:48,6,14,0,48,warming,6
1,2023-06-14,01:48:48,6,14,1,48,warming,5.5
1,2023-06-14,02:48:48,6,14,2,48,warming,5
1,2023-06-14,03:48:48,6,14,3,48,warming,4.5
1,2023-06-14,04:48:48,6,14,4,48,warming,4.5
1,2023-06-14,05:48:48,6,14,5,48,warming,5.5
1,2023-06-14,06:48:48,6,14,6,48,warming,7.5
1,2023-06-14,07:48:48,6,14,7,48,warming,9.5
1,2023-06-14,08:48:48,6,14,8,48,warming,13.5
1,2023-06-14,09:48:48,6,14,9,48,warming,15.5
1,2023-06-14,10:48:48,6,14,10,48,warming,20
1,2023-06-14,11:48:48,6,14,11,48,warming,22.5
1,2023-06-14,12:48:48,6,14,12,48,warming,24
1,2023-06-14,13:48:48,6,14,13,48,warming,23
1,2023-06-14,14:48:48,6,14,14,48,warming,24.5
1,2023-06-14,15:48:48,6,14,15,48,warming,23.5
1,2023-06-14,16:48:48,6,14,16,48,warming,21
1,2023-06-14,17:48:48,6,14,17,48,warming,21
1,2023-06-14,18:48:48,6,14,18,48,warming,17
1,2023-06-14,19:48:48,6,14,19,48,warming,14.5
1,2023-06-14,20:48:48,6,14,20,48,warming,12
1,2023-06-14,21:48:48,6,14,21,48,warming,9.5
1,2023-06-14,22:48:48,6,14,22,48,warming,8.5
1,2023-06-14,23:48:48,6,14,23,48,warming,7.5
1,2023-06-15,00:48:48,6,15,0,48,warming,7.5
1,2023-06-15,01:48:48,6,15,1,48,warming,7
1,2023-06-15,02:48:48,6,15,2,48,warming,6.5
1,2023-06-15,03:48:48,6,15,3,48,warming,6.5
1,2023-06-15,04:48:48,6,15,4,48,warming,6
1,2023-06-15,05:48:48,6,15,5,48,warming,6.5
1,2023-06-15,06:48:48,6,15,6,48,warming,7
1,2023-06-15,07:48:48,6,15,7,48,warming,8.5
1,2023-06-15,08:48:48,6,15,8,48,warming,10
1,2023-06-15,09:48:48,6,15,9,48,warming,12
1,2023-06-15,10:48:48,6,15,10,48,warming,14.5
1,2023-06-15,11:48:48,6,15,11,48,warming,20.5
1,2023-06-15,12:48:48,6,15,12,48,warming,23
1,2023-06-15,13:48:48,6,15,13,48,warming,22
1,2023-06-15,14:48:48,6,15,14,48,warming,24
1,2023-06-15,15:48:48,6,15,15,48,warming,24
1,2023-06-15,16:48:48,6,15,16,48,warming,21.5
1,2023-06-15,17:48:48,6,15,17,48,warming,19.5
1,2023-06-15,18:48:48,6,15,18,48,warming,17
1,2023-06-15,19:48:48,6,15,19,48,warming,15
1,2023-06-15,20:48:48,6,15,20,48,warming,12.5
1,2023-06-15,21:48:48,6,15,21,48,warming,10.5
1,2023-06-15,22:48:48,6,15,22,48,warming,9.5
1,2023-06-15,23:48:48,6,15,23,48,warming,8.5
1,2023-06-16,00:48:48,6,16,0,48,warming,8
1,2023-06-16,01:48:48,6,16,1,48,warming,7.5
1,2023-06-16,02:48:48,6,16,2,48,warming,7.5
1,2023-06-16,03:48:48,6,16,3,48,warming,8
1,2023-06-16,04:48:48,6,16,4,48,warming,8.5
1,2023-06-16,05:48:48,6,16,5,48,warming,9
1,2023-06-16,06:48:48,6,16,6,48,warming,10.5
1,2023-06-16,07:48:48,6,16,7,48,warming,11.5
1,2023-06-16,08:48:48,6,16,8,48,warming,10
1,2023-06-16,09:48:48,6,16,9,48,warming,12
1,2023-06-16,10:48:48,6,16,10,48,warming,14.5
1,2023-06-16,11:48:48,6,16,11,48,warming,20
1,2023-06-16,12:48:48,6,16,12,48,warming,24.5
1,2023-06-16,13:48:48,6,16,13,48,warming,23.5
1,2023-06-16,14:48:48,6,16,14,48,warming,21
1,2023-06-16,15:48:48,6,16,15,48,warming,18
1,2023-06-16,16:48:48,6,16,16,48,warming,19.5
1,2023-06-16,17:48:48,6,16,17,48,warming,18.5
1,2023-06-16,18:48:48,6,16,18,48,warming,16
1,2023-06-16,19:48:48,6,16,19,48,warming,14
1,2023-06-16,20:48:48,6,16,20,48,warming,12.5
1,2023-06-16,21:48:48,6,16,21,48,warming,11.5
1,2023-06-16,22:48:48,6,16,22,48,warming,11
1,2023-06-16,23:48:48,6,16,23,48,warming,10
1,2023-06-17,00:48:48,6,17,0,48,warming,9.5
1,2023-06-17,01:48:48,6,17,1,48,warming,9
1,2023-06-17,02:48:48,6,17,2,48,warming,8.5
1,2023-06-17,03:48:48,6,17,3,48,warming,8
1,2023-06-17,04:48:48,6,17,4,48,warming,8
1,2023-06-17,05:48:48,6,17,5,48,warming,8.5
1,2023-06-17,06:48:48,6,17,6,48,warming,10
1,2023-06-17,07:48:48,6,17,7,48,warming,12
1,2023-06-17,08:48:48,6,17,8,48,warming,14.5
1,2023-06-17,09:48:48,6,17,9,48,warming,15.5
1,2023-06-17,10:48:48,6,17,10,48,warming,18.5
1,2023-06-17,11:48:48,6,17,11,48,warming,24.5
1,2023-06-17,12:48:48,6,17,12,48,warming,26
1,2023-06-17,13:48:48,6,17,13,48,warming,26
1,2023-06-17,14:48:48,6,17,14,48,warming,27
1,2023-06-17,15:48:48,6,17,15,48,warming,27
1,2023-06-17,16:48:48,6,17,16,48,warming,25.5
1,2023-06-17,17:48:48,6,17,17,48,warming,23
1,2023-06-17,18:48:48,6,17,18,48,warming,21.5
1,2023-06-17,19:48:48,6,17,19,48,warming,19
1,2023-06-17,20:48:48,6,17,20,48,warming,17.5
1,2023-06-17,21:48:48,6,17,21,48,warming,15.5
1,2023-06-17,22:48:48,6,17,22,48,warming,14.5
1,2023-06-17,23:48:48,6,17,23,48,warming,14
1,2023-06-18,00:48:48,6,18,0,48,warming,13.5
1,2023-06-18,01:48:48,6,18,1,48,warming,13.5
1,2023-06-18,02:48:48,6,18,2,48,warming,13
1,2023-06-18,03:48:48,6,18,3,48,warming,12.5
1,2023-06-18,04:48:48,6,18,4,48,warming,13
1,2023-06-18,05:48:48,6,18,5,48,warming,13
1,2023-06-18,06:48:48,6,18,6,48,warming,14.5
1,2023-06-18,07:48:48,6,18,7,48,warming,17
1,2023-06-18,08:48:48,6,18,8,48,warming,18
1,2023-06-18,09:48:48,6,18,9,48,warming,16
1,2023-06-18,10:48:48,6,18,10,48,warming,17.5
1,2023-06-18,11:48:48,6,18,11,48,warming,23
1,2023-06-18,12:48:48,6,18,12,48,warming,21
1,2023-06-18,13:48:48,6,18,13,48,warming,24.5
1,2023-06-18,14:48:48,6,18,14,48,warming,23
1,2023-06-18,15:48:48,6,18,15,48,warming,24
1,2023-06-18,16:48:48,6,18,16,48,warming,23.5
1,2023-06-18,17:48:48,6,18,17,48,warming,19.5
1,2023-06-18,18:48:48,6,18,18,48,warming,17.5
1,2023-06-18,19:48:48,6,18,19,48,warming,16.5
1,2023-06-18,20:48:48,6,18,20,48,warming,14
1,2023-06-18,21:48:48,6,18,21,48,warming,12
1,2023-06-18,22:48:48,6,18,22,48,warming,10.5
1,2023-06-18,23:48:48,6,18,23,48,warming,9.5
1,2023-06-19,00:48:48,6,19,0,48,warming,9
1,2023-06-19,01:48:48,6,19,1,48,warming,8.5
1,2023-06-19,02:48:48,6,19,2,48,warming,8.5
1,2023-06-19,03:48:48,6,19,3,48,warming,8
1,2023-06-19,04:48:48,6,19,4,48,warming,8
1,2023-06-19,05:48:48,6,19,5,48,warming,8.5
1,2023-06-19,06:48:48,6,19,6,48,warming,10
1,2023-06-19,07:48:48,6,19,7,48,warming,13.5
1,2023-06-19,08:48:48,6,19,8,48,warming,15.5
1,2023-06-19,09:48:48,6,19,9,48,warming,19
1,2023-06-19,10:48:48,6,19,10,48,warming,23.5
1,2023-06-19,11:48:48,6,19,11,48,warming,25
1,2023-06-19,12:48:48,6,19,12,48,warming,28
1,2023-06-19,13:48:48,6,19,13,48,warming,25.5
1,2023-06-19,14:48:48,6,19,14,48,warming,27
1,2023-06-19,15:48:48,6,19,15,48,warming,22.5
1,2023-06-19,16:48:48,6,19,16,48,warming,17
1,2023-06-19,17:48:48,6,19,17,48,warming,14.5
1,2023-06-19,18:48:48,6,19,18,48,warming,13
1,2023-06-19,19:48:48,6,19,19,48,warming,11.5
1,2023-06-19,20:48:48,6,19,20,48,warming,10.5
1,2023-06-19,21:48:48,6,19,21,48,warming,9.5
1,2023-06-19,22:48:48,6,19,22,48,warming,8.5
1,2023-06-19,23:48:48,6,19,23,48,warming,7.5
1,2023-06-20,00:48:48,6,20,0,48,warming,7.5
1,2023-06-20,01:48:48,6,20,1,48,warming,7.5
1,2023-06-20,02:48:48,6,20,2,48,warming,7.5
1,2023-06-20,03:48:48,6,20,3,48,warming,6.5
1,2023-06-20,04:48:48,6,20,4,48,warming,6
1,2023-06-20,05:48:48,6,20,5,48,warming,7
1,2023-06-20,06:48:48,6,20,6,48,warming,7.5
1,2023-06-20,07:48:48,6,20,7,48,warming,8
1,2023-06-20,08:48:48,6,20,8,48,warming,8.5
1,2023-06-20,09:48:48,6,20,9,48,warming,9.5
1,2023-06-20,10:48:48,6,20,10,48,warming,11
1,2023-06-20,11:48:48,6,20,11,48,warming,12
1,2023-06-20,12:48:48,6,20,12,48,warming,14.5
1,2023-06-20,13:48:48,6,20,13,48,warming,15
1,2023-06-20,14:48:48,6,20,14,48,warming,15.5
1,2023-06-20,15:48:48,6,20,15,48,warming,15
1,2023-06-20,16:48:48,6,20,16,48,warming,15
1,2023-06-20,17:48:48,6,20,17,48,warming,13.5
1,2023-06-20,18:48:48,6,20,18,48,warming,12
1,2023-06-20,19:48:48,6,20,19,48,warming,10.5
1,2023-06-20,20:48:48,6,20,20,48,warming,9
1,2023-06-20,21:48:48,6,20,21,48,warming,8
1,2023-06-20,22:48:48,6,20,22,48,warming,7.5
1,2023-06-20,23:48:48,6,20,23,48,warming,7
1,2023-06-21,00:48:48,6,21,0,48,warming,6.5
1,2023-06-21,01:48:48,6,21,1,48,warming,6
1,2023-06-21,02:48:48,6,21,2,48,warming,6
1,2023-06-21,03:48:48,6,21,3,48,warming,6
1,2023-06-21,04:48:48,6,21,4,48,warming,6
1,2023-06-21,05:48:48,6,21,5,48,warming,5.5
1,2023-06-21,06:48:48,6,21,6,48,warming,6
1,2023-06-21,07:48:48,6,21,7,48,warming,7
1,2023-06-21,08:48:48,6,21,8,48,warming,8.5
1,2023-06-21,09:48:48,6,21,9,48,warming,8.5
1,2023-06-21,10:48:48,6,21,10,48,warming,8
1,2023-06-21,11:48:48,6,21,11,48,warming,8.5
1,2023-06-21,12:48:48,6,21,12,48,warming,8.5
1,2023-06-21,13:48:48,6,21,13,48,warming,8
1,2023-06-21,14:48:48,6,21,14,48,warming,7
1,2023-06-21,15:48:48,6,21,15,48,warming,7.5
1,2023-06-21,16:48:48,6,21,16,48,warming,7.5
1,2023-06-21,17:48:48,6,21,17,48,warming,7.5
1,2023-06-21,18:48:48,6,21,18,48,warming,7.5
1,2023-06-21,19:48:48,6,21,19,48,warming,8
1,2023-06-21,20:48:48,6,21,20,48,warming,7
1,2023-06-21,21:48:48,6,21,21,48,warming,6
1,2023-06-21,22:48:48,6,21,22,48,warming,6
1,2023-06-21,23:48:48,6,21,23,48,warming,5.5
1,2023-06-22,00:48:48,6,22,0,48,warming,5
1,2023-06-22,01:48:48,6,22,1,48,warming,5
1,2023-06-22,02:48:48,6,22,2,48,warming,5
1,2023-06-22,03:48:48,6,22,3,48,warming,5
1,2023-06-22,04:48:48,6,22,4,48,warming,5
1,2023-06-22,05:48:48,6,22,5,48,warming,5.5
1,2023-06-22,06:48:48,6,22,6,48,warming,6
1,2023-06-22,07:48:48,6,22,7,48,warming,6
1,2023-06-22,08:48:48,6,22,8,48,warming,7
1,2023-06-22,09:48:48,6,22,9,48,warming,9
1,2023-06-22,10:48:48,6,22,10,48,warming,9.5
1,2023-06-22,11:48:48,6,22,11,48,warming,10.5
1,2023-06-22,12:48:48,6,22,12,48,warming,11.5
1,2023-06-22,13:48:48,6,22,13,48,warming,13.5
1,2023-06-22,14:48:48,6,22,14,48,warming,13
1,2023-06-22,15:48:48,6,22,15,48,warming,12.5
1,2023-06-22,16:48:48,6,22,16,48,warming,10.5
1,2023-06-22,17:48:48,6,22,17,48,warming,9
1,2023-06-22,18:48:48,6,22,18,48,warming,8
1,2023-06-22,19:48:48,6,22,19,48,warming,7
1,2023-06-22,20:48:48,6,22,20,48,warming,6.5
1,2023-06-22,21:48:48,6,22,21,48,warming,6
1,2023-06-22,22:48:48,6,22,22,48,warming,5.5
1,2023-06-22,23:48:48,6,22,23,48,warming,5
1,2023-06-23,00:48:48,6,23,0,48,warming,5
