plot,Date,Time,month,day,hour,min,treatment,temp
1,2022-06-15,10:06:42,6,15,10,6,warming,20.5
1,2022-06-15,11:06:42,6,15,11,6,warming,21
1,2022-06-15,12:06:42,6,15,12,6,warming,21.5
1,2022-06-15,13:06:42,6,15,13,6,warming,21.5
1,2022-06-15,14:06:42,6,15,14,6,warming,22
1,2022-06-15,15:06:42,6,15,15,6,warming,22
1,2022-06-15,16:06:42,6,15,16,6,warming,22.5
1,2022-06-15,17:06:42,6,15,17,6,warming,22.5
1,2022-06-15,18:06:42,6,15,18,6,warming,22.5
1,2022-06-15,19:06:42,6,15,19,6,warming,22.5
1,2022-06-15,20:06:42,6,15,20,6,warming,22.5
1,2022-06-15,21:06:42,6,15,21,6,warming,22.5
1,2022-06-15,22:06:42,6,15,22,6,warming,22.5
1,2022-06-15,23:06:42,6,15,23,6,warming,22
1,2022-06-16,00:06:42,6,16,0,6,warming,22
1,2022-06-16,01:06:42,6,16,1,6,warming,22
1,2022-06-16,02:06:42,6,16,2,6,warming,22
1,2022-06-16,03:06:42,6,16,3,6,warming,22
1,2022-06-16,04:06:42,6,16,4,6,warming,22
1,2022-06-16,05:06:42,6,16,5,6,warming,22
1,2022-06-16,06:06:42,6,16,6,6,warming,22
1,2022-06-16,07:06:42,6,16,7,6,warming,22
1,2022-06-16,08:06:42,6,16,8,6,warming,22
1,2022-06-16,09:06:42,6,16,9,6,warming,22
1,2022-06-16,10:06:42,6,16,10,6,warming,22
1,2022-06-16,11:06:42,6,16,11,6,warming,22
1,2022-06-16,12:06:42,6,16,12,6,warming,22
1,2022-06-16,13:06:42,6,16,13,6,warming,22
1,2022-06-16,14:06:42,6,16,14,6,warming,22
1,2022-06-16,15:06:42,6,16,15,6,warming,22.5
1,2022-06-16,16:06:42,6,16,16,6,warming,22.5
1,2022-06-16,17:06:42,6,16,17,6,warming,22.5
1,2022-06-16,18:06:42,6,16,18,6,warming,22.5
1,2022-06-16,19:06:42,6,16,19,6,warming,22.5
1,2022-06-16,20:06:42,6,16,20,6,warming,22.5
1,2022-06-16,21:06:42,6,16,21,6,warming,22.5
1,2022-06-16,22:06:42,6,16,22,6,warming,22.5
1,2022-06-16,23:06:42,6,16,23,6,warming,22
1,2022-06-17,00:06:42,6,17,0,6,warming,22
